Epoch 001/100 | Train Loss: 1.3396 | Val Loss: 1.3279 | Val Dice: 0.0000
Epoch 002/100 | Train Loss: 1.2162 | Val Loss: 1.3240 | Val Dice: 0.0000
Epoch 003/100 | Train Loss: 1.0417 | Val Loss: 1.3051 | Val Dice: 0.0000
Epoch 004/100 | Train Loss: 0.9560 | Val Loss: 1.2978 | Val Dice: 0.0000
Epoch 005/100 | Train Loss: 0.9271 | Val Loss: 1.2879 | Val Dice: 0.0000
Epoch 006/100 | Train Loss: 0.8960 | Val Loss: 1.2513 | Val Dice: 0.0595
Epoch 007/100 | Train Loss: 0.8620 | Val Loss: 1.1585 | Val Dice: 0.1573
Epoch 008/100 | Train Loss: 0.8375 | Val Loss: 1.0840 | Val Dice: 0.3357
Epoch 009/100 | Train Loss: 0.8242 | Val Loss: 1.0441 | Val Dice: 0.4479
Epoch 010/100 | Train Loss: 0.8119 | Val Loss: 0.9733 | Val Dice: 0.6328
Epoch 011/100 | Train Loss: 0.7815 | Val Loss: 0.9104 | Val Dice: 0.8143
Epoch 012/100 | Train Loss: 0.7614 | Val Loss: 0.8688 | Val Dice: 0.8339
Epoch 013/100 | Train Loss: 0.7556 | Val Loss: 0.8194 | Val Dice: 0.8813
Epoch 014/100 | Train Loss: 0.7469 | Val Loss: 0.8002 | Val Dice: 0.8835
Epoch 015/100 | Train Loss: 0.7276 | Val Loss: 0.7986 | Val Dice: 0.8812
Epoch 016/100 | Train Loss: 0.7168 | Val Loss: 0.7498 | Val Dice: 0.9056
Epoch 017/100 | Train Loss: 0.7116 | Val Loss: 0.7834 | Val Dice: 0.8964
Epoch 018/100 | Train Loss: 0.7037 | Val Loss: 0.7319 | Val Dice: 0.9019
Epoch 019/100 | Train Loss: 0.6892 | Val Loss: 0.7198 | Val Dice: 0.9033
Epoch 020/100 | Train Loss: 0.6784 | Val Loss: 0.7306 | Val Dice: 0.8988
Epoch 021/100 | Train Loss: 0.6736 | Val Loss: 0.7323 | Val Dice: 0.8961
Epoch 022/100 | Train Loss: 0.6656 | Val Loss: 0.6851 | Val Dice: 0.9098
Epoch 023/100 | Train Loss: 0.6517 | Val Loss: 0.6976 | Val Dice: 0.9075
Epoch 024/100 | Train Loss: 0.6411 | Val Loss: 0.6877 | Val Dice: 0.9075
Epoch 025/100 | Train Loss: 0.6355 | Val Loss: 0.6770 | Val Dice: 0.9091
Epoch 026/100 | Train Loss: 0.6291 | Val Loss: 0.6694 | Val Dice: 0.9141
Epoch 027/100 | Train Loss: 0.6135 | Val Loss: 0.6458 | Val Dice: 0.9099
Epoch 028/100 | Train Loss: 0.6067 | Val Loss: 0.6354 | Val Dice: 0.9124
Epoch 029/100 | Train Loss: 0.6018 | Val Loss: 0.6609 | Val Dice: 0.8988
Epoch 030/100 | Train Loss: 0.5960 | Val Loss: 0.6147 | Val Dice: 0.9165
Epoch 031/100 | Train Loss: 0.5822 | Val Loss: 0.6333 | Val Dice: 0.9051
Epoch 032/100 | Train Loss: 0.5725 | Val Loss: 0.6081 | Val Dice: 0.9132
Epoch 033/100 | Train Loss: 0.5711 | Val Loss: 0.6209 | Val Dice: 0.9140
Epoch 034/100 | Train Loss: 0.5656 | Val Loss: 0.6511 | Val Dice: 0.9023
Epoch 035/100 | Train Loss: 0.5579 | Val Loss: 0.5670 | Val Dice: 0.9121
Epoch 036/100 | Train Loss: 0.5465 | Val Loss: 0.5822 | Val Dice: 0.9160
Epoch 037/100 | Train Loss: 0.5433 | Val Loss: 0.5953 | Val Dice: 0.9120
Epoch 038/100 | Train Loss: 0.5371 | Val Loss: 0.5760 | Val Dice: 0.9111
Epoch 039/100 | Train Loss: 0.5273 | Val Loss: 0.5805 | Val Dice: 0.9125
Epoch 040/100 | Train Loss: 0.5153 | Val Loss: 0.5615 | Val Dice: 0.9087
Early stopping at epoch 40: validation Dice has not improved beyond 0.9165 by more than 0.0010 for 10 consecutive epochs.
