Epoch 001/100 | Train Loss: 3.3014 | Val Loss: 2.9965 | Val Dice: 0.0679
Epoch 002/100 | Train Loss: 2.7847 | Val Loss: 2.6235 | Val Dice: 0.1124
Epoch 003/100 | Train Loss: 2.4424 | Val Loss: 2.3107 | Val Dice: 0.1297
Epoch 004/100 | Train Loss: 2.1559 | Val Loss: 2.1064 | Val Dice: 0.2221
Epoch 005/100 | Train Loss: 1.9212 | Val Loss: 1.8599 | Val Dice: 0.2016
Epoch 006/100 | Train Loss: 1.7304 | Val Loss: 1.7132 | Val Dice: 0.2732
Epoch 007/100 | Train Loss: 1.5925 | Val Loss: 1.5869 | Val Dice: 0.3515
Epoch 008/100 | Train Loss: 1.4762 | Val Loss: 1.4991 | Val Dice: 0.3908
Epoch 009/100 | Train Loss: 1.3822 | Val Loss: 1.3936 | Val Dice: 0.3937
Epoch 010/100 | Train Loss: 1.3120 | Val Loss: 1.3574 | Val Dice: 0.4438
Epoch 011/100 | Train Loss: 1.2616 | Val Loss: 1.3057 | Val Dice: 0.4411
Epoch 012/100 | Train Loss: 1.2246 | Val Loss: 1.2653 | Val Dice: 0.4660
Epoch 013/100 | Train Loss: 1.1808 | Val Loss: 1.2446 | Val Dice: 0.4727
Epoch 014/100 | Train Loss: 1.1521 | Val Loss: 1.2050 | Val Dice: 0.4747
Epoch 015/100 | Train Loss: 1.1280 | Val Loss: 1.2000 | Val Dice: 0.4827
Epoch 016/100 | Train Loss: 1.1021 | Val Loss: 1.1794 | Val Dice: 0.4958
Epoch 017/100 | Train Loss: 1.0818 | Val Loss: 1.1624 | Val Dice: 0.5399
Epoch 018/100 | Train Loss: 1.0567 | Val Loss: 1.1336 | Val Dice: 0.5601
Epoch 019/100 | Train Loss: 1.0339 | Val Loss: 1.1246 | Val Dice: 0.5575
Epoch 020/100 | Train Loss: 1.0131 | Val Loss: 1.1100 | Val Dice: 0.5608
Epoch 021/100 | Train Loss: 0.9952 | Val Loss: 1.0919 | Val Dice: 0.5832
Epoch 022/100 | Train Loss: 0.9759 | Val Loss: 1.0772 | Val Dice: 0.5960
Epoch 023/100 | Train Loss: 0.9547 | Val Loss: 1.0712 | Val Dice: 0.6029
Epoch 024/100 | Train Loss: 0.9405 | Val Loss: 1.0521 | Val Dice: 0.6147
Epoch 025/100 | Train Loss: 0.9236 | Val Loss: 1.0503 | Val Dice: 0.6059
Epoch 026/100 | Train Loss: 0.9101 | Val Loss: 1.0386 | Val Dice: 0.6034
Epoch 027/100 | Train Loss: 0.8958 | Val Loss: 1.0322 | Val Dice: 0.6143
Epoch 028/100 | Train Loss: 0.8798 | Val Loss: 1.0114 | Val Dice: 0.6218
Epoch 029/100 | Train Loss: 0.8707 | Val Loss: 1.0288 | Val Dice: 0.6132
Epoch 030/100 | Train Loss: 0.8613 | Val Loss: 1.0282 | Val Dice: 0.6103
Epoch 031/100 | Train Loss: 0.8523 | Val Loss: 1.0008 | Val Dice: 0.6258
Epoch 032/100 | Train Loss: 0.8433 | Val Loss: 0.9814 | Val Dice: 0.6392
Epoch 033/100 | Train Loss: 0.8354 | Val Loss: 0.9909 | Val Dice: 0.6235
Epoch 034/100 | Train Loss: 0.8255 | Val Loss: 0.9749 | Val Dice: 0.6411
Epoch 035/100 | Train Loss: 0.8165 | Val Loss: 0.9735 | Val Dice: 0.6259
Epoch 036/100 | Train Loss: 0.8118 | Val Loss: 0.9837 | Val Dice: 0.6221
Epoch 037/100 | Train Loss: 0.8063 | Val Loss: 0.9704 | Val Dice: 0.6343
Epoch 038/100 | Train Loss: 0.8021 | Val Loss: 0.9635 | Val Dice: 0.6323
Epoch 039/100 | Train Loss: 0.7934 | Val Loss: 0.9770 | Val Dice: 0.6277
Epoch 040/100 | Train Loss: 0.7894 | Val Loss: 0.9657 | Val Dice: 0.6133
Epoch 041/100 | Train Loss: 0.7865 | Val Loss: 0.9775 | Val Dice: 0.6105
Epoch 042/100 | Train Loss: 0.7831 | Val Loss: 0.9586 | Val Dice: 0.6233
Epoch 043/100 | Train Loss: 0.7756 | Val Loss: 0.9492 | Val Dice: 0.6336
Epoch 044/100 | Train Loss: 0.7725 | Val Loss: 0.9571 | Val Dice: 0.6272
Early stopping at epoch 44: validation Dice has not improved beyond 0.6411 by more than 0.0010 for 10 consecutive epochs.
