Epoch 001/100 | Train Loss: 0.5136 | Val Loss: 0.2575 | Val Dice: 0.9206
Epoch 002/100 | Train Loss: 0.2066 | Val Loss: 0.1802 | Val Dice: 0.9435
Epoch 003/100 | Train Loss: 0.1557 | Val Loss: 0.1471 | Val Dice: 0.9519
Epoch 004/100 | Train Loss: 0.1305 | Val Loss: 0.1270 | Val Dice: 0.9575
Epoch 005/100 | Train Loss: 0.1155 | Val Loss: 0.1177 | Val Dice: 0.9595
Epoch 006/100 | Train Loss: 0.1052 | Val Loss: 0.1097 | Val Dice: 0.9611
Epoch 007/100 | Train Loss: 0.0974 | Val Loss: 0.1020 | Val Dice: 0.9629
Epoch 008/100 | Train Loss: 0.0913 | Val Loss: 0.0945 | Val Dice: 0.9655
Epoch 009/100 | Train Loss: 0.0869 | Val Loss: 0.0894 | Val Dice: 0.9670
Epoch 010/100 | Train Loss: 0.0828 | Val Loss: 0.0866 | Val Dice: 0.9678
Epoch 011/100 | Train Loss: 0.0802 | Val Loss: 0.0825 | Val Dice: 0.9689
Epoch 012/100 | Train Loss: 0.0770 | Val Loss: 0.0815 | Val Dice: 0.9691
Epoch 013/100 | Train Loss: 0.0744 | Val Loss: 0.0781 | Val Dice: 0.9701
Epoch 014/100 | Train Loss: 0.0725 | Val Loss: 0.0773 | Val Dice: 0.9703
Epoch 015/100 | Train Loss: 0.0712 | Val Loss: 0.0761 | Val Dice: 0.9707
Epoch 016/100 | Train Loss: 0.0690 | Val Loss: 0.0767 | Val Dice: 0.9701
Epoch 017/100 | Train Loss: 0.0682 | Val Loss: 0.0723 | Val Dice: 0.9718
Epoch 018/100 | Train Loss: 0.0657 | Val Loss: 0.0704 | Val Dice: 0.9723
Epoch 019/100 | Train Loss: 0.0642 | Val Loss: 0.0683 | Val Dice: 0.9732
Epoch 020/100 | Train Loss: 0.0634 | Val Loss: 0.0671 | Val Dice: 0.9736
Epoch 021/100 | Train Loss: 0.0618 | Val Loss: 0.0673 | Val Dice: 0.9737
Epoch 022/100 | Train Loss: 0.0610 | Val Loss: 0.0677 | Val Dice: 0.9732
Epoch 023/100 | Train Loss: 0.0600 | Val Loss: 0.0673 | Val Dice: 0.9733
Epoch 024/100 | Train Loss: 0.0600 | Val Loss: 0.0636 | Val Dice: 0.9749
Epoch 025/100 | Train Loss: 0.0583 | Val Loss: 0.0642 | Val Dice: 0.9747
Epoch 026/100 | Train Loss: 0.0579 | Val Loss: 0.0629 | Val Dice: 0.9748
Epoch 027/100 | Train Loss: 0.0576 | Val Loss: 0.0637 | Val Dice: 0.9748
Epoch 028/100 | Train Loss: 0.0565 | Val Loss: 0.0624 | Val Dice: 0.9751
Epoch 029/100 | Train Loss: 0.0556 | Val Loss: 0.0616 | Val Dice: 0.9755
Epoch 030/100 | Train Loss: 0.0549 | Val Loss: 0.0617 | Val Dice: 0.9753
Epoch 031/100 | Train Loss: 0.0547 | Val Loss: 0.0603 | Val Dice: 0.9759
Epoch 032/100 | Train Loss: 0.0544 | Val Loss: 0.0623 | Val Dice: 0.9751
Epoch 033/100 | Train Loss: 0.0537 | Val Loss: 0.0632 | Val Dice: 0.9749
Epoch 034/100 | Train Loss: 0.0538 | Val Loss: 0.0616 | Val Dice: 0.9752
Early stopping at epoch 34: validation Dice has not improved beyond 0.9749 by more than 0.0010 for 10 consecutive epochs.
