Epoch 001/100 | Train Loss: 1.4532 | Val Loss: 1.0483 | Val Dice: 0.7846
Epoch 002/100 | Train Loss: 0.8940 | Val Loss: 0.7801 | Val Dice: 0.8785
Epoch 003/100 | Train Loss: 0.6892 | Val Loss: 0.6173 | Val Dice: 0.9205
Epoch 004/100 | Train Loss: 0.5611 | Val Loss: 0.5216 | Val Dice: 0.9297
Epoch 005/100 | Train Loss: 0.4763 | Val Loss: 0.4489 | Val Dice: 0.9373
Epoch 006/100 | Train Loss: 0.4114 | Val Loss: 0.3950 | Val Dice: 0.9467
Epoch 007/100 | Train Loss: 0.3626 | Val Loss: 0.3484 | Val Dice: 0.9498
Epoch 008/100 | Train Loss: 0.3184 | Val Loss: 0.3118 | Val Dice: 0.9488
Epoch 009/100 | Train Loss: 0.2817 | Val Loss: 0.2806 | Val Dice: 0.9539
Epoch 010/100 | Train Loss: 0.2527 | Val Loss: 0.2488 | Val Dice: 0.9563
Epoch 011/100 | Train Loss: 0.2236 | Val Loss: 0.2263 | Val Dice: 0.9559
Epoch 012/100 | Train Loss: 0.1995 | Val Loss: 0.2060 | Val Dice: 0.9596
Epoch 013/100 | Train Loss: 0.1804 | Val Loss: 0.1852 | Val Dice: 0.9588
Epoch 014/100 | Train Loss: 0.1620 | Val Loss: 0.1723 | Val Dice: 0.9610
Epoch 015/100 | Train Loss: 0.1491 | Val Loss: 0.1612 | Val Dice: 0.9609
Epoch 016/100 | Train Loss: 0.1354 | Val Loss: 0.1444 | Val Dice: 0.9640
Epoch 017/100 | Train Loss: 0.1241 | Val Loss: 0.1389 | Val Dice: 0.9637
Epoch 018/100 | Train Loss: 0.1154 | Val Loss: 0.1311 | Val Dice: 0.9636
Epoch 019/100 | Train Loss: 0.1071 | Val Loss: 0.1222 | Val Dice: 0.9639
Epoch 020/100 | Train Loss: 0.1000 | Val Loss: 0.1149 | Val Dice: 0.9663
Epoch 021/100 | Train Loss: 0.0949 | Val Loss: 0.1142 | Val Dice: 0.9639
Epoch 022/100 | Train Loss: 0.0883 | Val Loss: 0.1105 | Val Dice: 0.9650
Epoch 023/100 | Train Loss: 0.0843 | Val Loss: 0.1025 | Val Dice: 0.9665
Epoch 024/100 | Train Loss: 0.0823 | Val Loss: 0.1026 | Val Dice: 0.9664
Epoch 025/100 | Train Loss: 0.0776 | Val Loss: 0.0977 | Val Dice: 0.9669
Epoch 026/100 | Train Loss: 0.0734 | Val Loss: 0.0954 | Val Dice: 0.9677
Epoch 027/100 | Train Loss: 0.0725 | Val Loss: 0.0949 | Val Dice: 0.9668
Epoch 028/100 | Train Loss: 0.0698 | Val Loss: 0.0929 | Val Dice: 0.9676
Epoch 029/100 | Train Loss: 0.0676 | Val Loss: 0.0887 | Val Dice: 0.9682
Epoch 030/100 | Train Loss: 0.0646 | Val Loss: 0.0882 | Val Dice: 0.9676
Epoch 031/100 | Train Loss: 0.0632 | Val Loss: 0.0861 | Val Dice: 0.9690
Epoch 032/100 | Train Loss: 0.0627 | Val Loss: 0.0880 | Val Dice: 0.9674
Epoch 033/100 | Train Loss: 0.0606 | Val Loss: 0.0834 | Val Dice: 0.9693
Epoch 034/100 | Train Loss: 0.0579 | Val Loss: 0.0864 | Val Dice: 0.9665
Epoch 035/100 | Train Loss: 0.0580 | Val Loss: 0.0870 | Val Dice: 0.9682
Epoch 036/100 | Train Loss: 0.0564 | Val Loss: 0.0843 | Val Dice: 0.9678
Epoch 037/100 | Train Loss: 0.0562 | Val Loss: 0.0829 | Val Dice: 0.9685
Epoch 038/100 | Train Loss: 0.0540 | Val Loss: 0.0811 | Val Dice: 0.9688
Epoch 039/100 | Train Loss: 0.0533 | Val Loss: 0.0813 | Val Dice: 0.9676
Epoch 040/100 | Train Loss: 0.0515 | Val Loss: 0.0793 | Val Dice: 0.9692
Epoch 041/100 | Train Loss: 0.0515 | Val Loss: 0.0766 | Val Dice: 0.9699
Early stopping at epoch 41: validation Dice has not improved beyond 0.9690 by more than 0.0010 for 10 consecutive epochs.
