Epoch 001/150 | Train Loss: 2.8826 | Val Loss: 2.7245 | Val Dice: 0.0825
Epoch 002/150 | Train Loss: 2.6408 | Val Loss: 2.5637 | Val Dice: 0.1209
Epoch 003/150 | Train Loss: 2.5307 | Val Loss: 2.4766 | Val Dice: 0.1486
Epoch 004/150 | Train Loss: 2.4492 | Val Loss: 2.4036 | Val Dice: 0.1726
Epoch 005/150 | Train Loss: 2.3778 | Val Loss: 2.3300 | Val Dice: 0.2128
Epoch 006/150 | Train Loss: 2.3083 | Val Loss: 2.2636 | Val Dice: 0.2643
Epoch 007/150 | Train Loss: 2.2375 | Val Loss: 2.1890 | Val Dice: 0.3244
Epoch 008/150 | Train Loss: 2.1673 | Val Loss: 2.1203 | Val Dice: 0.3360
Epoch 009/150 | Train Loss: 2.0959 | Val Loss: 2.0576 | Val Dice: 0.3463
Epoch 010/150 | Train Loss: 2.0337 | Val Loss: 2.0021 | Val Dice: 0.3508
Epoch 011/150 | Train Loss: 1.9772 | Val Loss: 1.9578 | Val Dice: 0.3564
Epoch 012/150 | Train Loss: 1.9260 | Val Loss: 1.8913 | Val Dice: 0.3658
Epoch 013/150 | Train Loss: 1.8702 | Val Loss: 1.8441 | Val Dice: 0.3703
Epoch 014/150 | Train Loss: 1.8251 | Val Loss: 1.7980 | Val Dice: 0.3775
Epoch 015/150 | Train Loss: 1.7749 | Val Loss: 1.7490 | Val Dice: 0.3919
Epoch 016/150 | Train Loss: 1.7264 | Val Loss: 1.7082 | Val Dice: 0.3889
Epoch 017/150 | Train Loss: 1.6865 | Val Loss: 1.6675 | Val Dice: 0.3939
Epoch 018/150 | Train Loss: 1.6450 | Val Loss: 1.6351 | Val Dice: 0.3926
Epoch 019/150 | Train Loss: 1.6096 | Val Loss: 1.5844 | Val Dice: 0.3969
Epoch 020/150 | Train Loss: 1.5673 | Val Loss: 1.5473 | Val Dice: 0.4035
Epoch 021/150 | Train Loss: 1.5288 | Val Loss: 1.5170 | Val Dice: 0.4012
Epoch 022/150 | Train Loss: 1.4962 | Val Loss: 1.4798 | Val Dice: 0.4030
Epoch 023/150 | Train Loss: 1.4628 | Val Loss: 1.4484 | Val Dice: 0.4076
Epoch 024/150 | Train Loss: 1.4275 | Val Loss: 1.4185 | Val Dice: 0.4100
Epoch 025/150 | Train Loss: 1.4005 | Val Loss: 1.3952 | Val Dice: 0.4142
Epoch 026/150 | Train Loss: 1.3703 | Val Loss: 1.3640 | Val Dice: 0.4473
Epoch 027/150 | Train Loss: 1.3492 | Val Loss: 1.3401 | Val Dice: 0.4385
Epoch 028/150 | Train Loss: 1.3124 | Val Loss: 1.3018 | Val Dice: 0.4773
Epoch 029/150 | Train Loss: 1.2807 | Val Loss: 1.2753 | Val Dice: 0.4874
Epoch 030/150 | Train Loss: 1.2596 | Val Loss: 1.2526 | Val Dice: 0.5075
Epoch 031/150 | Train Loss: 1.2303 | Val Loss: 1.2292 | Val Dice: 0.5163
Epoch 032/150 | Train Loss: 1.2105 | Val Loss: 1.2088 | Val Dice: 0.5334
Epoch 033/150 | Train Loss: 1.1872 | Val Loss: 1.1883 | Val Dice: 0.5400
Epoch 034/150 | Train Loss: 1.1673 | Val Loss: 1.1777 | Val Dice: 0.5572
Epoch 035/150 | Train Loss: 1.1455 | Val Loss: 1.1499 | Val Dice: 0.5685
Epoch 036/150 | Train Loss: 1.1239 | Val Loss: 1.1412 | Val Dice: 0.5586
Epoch 037/150 | Train Loss: 1.1044 | Val Loss: 1.1211 | Val Dice: 0.5641
Epoch 038/150 | Train Loss: 1.0932 | Val Loss: 1.1031 | Val Dice: 0.5816
Epoch 039/150 | Train Loss: 1.0759 | Val Loss: 1.0909 | Val Dice: 0.5788
Epoch 040/150 | Train Loss: 1.0624 | Val Loss: 1.0734 | Val Dice: 0.6040
Epoch 041/150 | Train Loss: 1.0455 | Val Loss: 1.0627 | Val Dice: 0.5829
Epoch 042/150 | Train Loss: 1.0301 | Val Loss: 1.0536 | Val Dice: 0.5800
Epoch 043/150 | Train Loss: 1.0146 | Val Loss: 1.0353 | Val Dice: 0.5869
Epoch 044/150 | Train Loss: 1.0041 | Val Loss: 1.0249 | Val Dice: 0.5944
Epoch 045/150 | Train Loss: 0.9939 | Val Loss: 1.0114 | Val Dice: 0.5841
Epoch 046/150 | Train Loss: 0.9810 | Val Loss: 1.0016 | Val Dice: 0.5887
Epoch 047/150 | Train Loss: 0.9690 | Val Loss: 0.9909 | Val Dice: 0.5786
Epoch 048/150 | Train Loss: 0.9567 | Val Loss: 0.9798 | Val Dice: 0.5699
Epoch 049/150 | Train Loss: 0.9500 | Val Loss: 0.9775 | Val Dice: 0.5348
Epoch 050/150 | Train Loss: 0.9410 | Val Loss: 0.9625 | Val Dice: 0.5417
Early stopping at epoch 50: validation Dice has not improved beyond 0.6040 by more than 0.0010 for 10 consecutive epochs.
