Epoch 001/100 | Train Loss: 1.3752 | Val Loss: 1.8846 | Val Dice: 0.1592
Epoch 002/100 | Train Loss: 1.2200 | Val Loss: 1.1571 | Val Dice: 0.6467
Epoch 003/100 | Train Loss: 1.1532 | Val Loss: 1.0995 | Val Dice: 0.6530
Epoch 004/100 | Train Loss: 1.0983 | Val Loss: 1.0735 | Val Dice: 0.7294
Epoch 005/100 | Train Loss: 1.0480 | Val Loss: 1.0401 | Val Dice: 0.7866
Epoch 006/100 | Train Loss: 0.9941 | Val Loss: 1.0027 | Val Dice: 0.6623
Epoch 007/100 | Train Loss: 0.9482 | Val Loss: 0.9965 | Val Dice: 0.7089
Epoch 008/100 | Train Loss: 0.9038 | Val Loss: 0.9056 | Val Dice: 0.7393
Epoch 009/100 | Train Loss: 0.8571 | Val Loss: 0.8474 | Val Dice: 0.8073
Epoch 010/100 | Train Loss: 0.8143 | Val Loss: 0.8009 | Val Dice: 0.8366
Epoch 011/100 | Train Loss: 0.7725 | Val Loss: 0.7498 | Val Dice: 0.8261
Epoch 012/100 | Train Loss: 0.7306 | Val Loss: 0.7159 | Val Dice: 0.7976
Epoch 013/100 | Train Loss: 0.6930 | Val Loss: 0.6961 | Val Dice: 0.8601
Epoch 014/100 | Train Loss: 0.6570 | Val Loss: 0.7764 | Val Dice: 0.6309
Epoch 015/100 | Train Loss: 0.6197 | Val Loss: 0.6241 | Val Dice: 0.8451
Epoch 016/100 | Train Loss: 0.5867 | Val Loss: 0.5678 | Val Dice: 0.8851
Epoch 017/100 | Train Loss: 0.5560 | Val Loss: 0.5494 | Val Dice: 0.8442
Epoch 018/100 | Train Loss: 0.5256 | Val Loss: 0.5155 | Val Dice: 0.8295
Epoch 019/100 | Train Loss: 0.4953 | Val Loss: 0.4896 | Val Dice: 0.8883
Epoch 020/100 | Train Loss: 0.4722 | Val Loss: 0.4690 | Val Dice: 0.7854
Epoch 021/100 | Train Loss: 0.4498 | Val Loss: 0.4439 | Val Dice: 0.8942
Epoch 022/100 | Train Loss: 0.4289 | Val Loss: 0.4346 | Val Dice: 0.8923
Epoch 023/100 | Train Loss: 0.4056 | Val Loss: 0.4111 | Val Dice: 0.7976
Epoch 024/100 | Train Loss: 0.3915 | Val Loss: 0.3914 | Val Dice: 0.8936
Epoch 025/100 | Train Loss: 0.3733 | Val Loss: 0.3814 | Val Dice: 0.8961
Epoch 026/100 | Train Loss: 0.3588 | Val Loss: 0.3774 | Val Dice: 0.8830
Epoch 027/100 | Train Loss: 0.3586 | Val Loss: 0.3615 | Val Dice: 0.8691
Epoch 028/100 | Train Loss: 0.3436 | Val Loss: 0.3534 | Val Dice: 0.8265
Epoch 029/100 | Train Loss: 0.3253 | Val Loss: 0.3383 | Val Dice: 0.9132
Epoch 030/100 | Train Loss: 0.3147 | Val Loss: 0.3238 | Val Dice: 0.8983
Epoch 031/100 | Train Loss: 0.3076 | Val Loss: 0.3255 | Val Dice: 0.8950
Epoch 032/100 | Train Loss: 0.3046 | Val Loss: 0.3192 | Val Dice: 0.8736
Epoch 033/100 | Train Loss: 0.2969 | Val Loss: 0.3269 | Val Dice: 0.9081
Epoch 034/100 | Train Loss: 0.2906 | Val Loss: 0.3033 | Val Dice: 0.8834
Epoch 035/100 | Train Loss: 0.2896 | Val Loss: 0.4609 | Val Dice: 0.6659
Epoch 036/100 | Train Loss: 0.2963 | Val Loss: 0.3211 | Val Dice: 0.8892
Epoch 037/100 | Train Loss: 0.2892 | Val Loss: 0.3004 | Val Dice: 0.8655
Epoch 038/100 | Train Loss: 0.2789 | Val Loss: 0.2865 | Val Dice: 0.8883
Epoch 039/100 | Train Loss: 0.2770 | Val Loss: 0.2888 | Val Dice: 0.8840
Early stopping at epoch 39: validation Dice has not improved beyond 0.9132 by more than 0.0010 for 10 consecutive epochs.
