Epoch 001/100 | Train Loss: 1.7723 | Val Loss: 1.7862 | Val Dice: 0.0338
Epoch 002/100 | Train Loss: 1.7489 | Val Loss: 1.7618 | Val Dice: 0.0353
Epoch 003/100 | Train Loss: 1.7283 | Val Loss: 1.7412 | Val Dice: 0.0368
Epoch 004/100 | Train Loss: 1.7111 | Val Loss: 1.7229 | Val Dice: 0.0382
Epoch 005/100 | Train Loss: 1.6965 | Val Loss: 1.7069 | Val Dice: 0.0398
Epoch 006/100 | Train Loss: 1.6827 | Val Loss: 1.6924 | Val Dice: 0.0414
Epoch 007/100 | Train Loss: 1.6697 | Val Loss: 1.6784 | Val Dice: 0.0429
Epoch 008/100 | Train Loss: 1.6572 | Val Loss: 1.6649 | Val Dice: 0.0445
Epoch 009/100 | Train Loss: 1.6449 | Val Loss: 1.6514 | Val Dice: 0.0462
Epoch 010/100 | Train Loss: 1.6334 | Val Loss: 1.6383 | Val Dice: 0.0480
Epoch 011/100 | Train Loss: 1.6224 | Val Loss: 1.6259 | Val Dice: 0.0504
Epoch 012/100 | Train Loss: 1.6122 | Val Loss: 1.6143 | Val Dice: 0.0526
Epoch 013/100 | Train Loss: 1.6031 | Val Loss: 1.6034 | Val Dice: 0.0563
Epoch 014/100 | Train Loss: 1.5951 | Val Loss: 1.5933 | Val Dice: 0.0612
Epoch 015/100 | Train Loss: 1.5876 | Val Loss: 1.5840 | Val Dice: 0.0678
Epoch 016/100 | Train Loss: 1.5804 | Val Loss: 1.5757 | Val Dice: 0.0752
Epoch 017/100 | Train Loss: 1.5734 | Val Loss: 1.5687 | Val Dice: 0.0809
Epoch 018/100 | Train Loss: 1.5668 | Val Loss: 1.5622 | Val Dice: 0.0861
Epoch 019/100 | Train Loss: 1.5605 | Val Loss: 1.5560 | Val Dice: 0.0885
Epoch 020/100 | Train Loss: 1.5545 | Val Loss: 1.5503 | Val Dice: 0.0911
Epoch 021/100 | Train Loss: 1.5488 | Val Loss: 1.5451 | Val Dice: 0.0920
Epoch 022/100 | Train Loss: 1.5435 | Val Loss: 1.5402 | Val Dice: 0.0945
Epoch 023/100 | Train Loss: 1.5389 | Val Loss: 1.5352 | Val Dice: 0.0971
Epoch 024/100 | Train Loss: 1.5347 | Val Loss: 1.5302 | Val Dice: 0.1008
Epoch 025/100 | Train Loss: 1.5308 | Val Loss: 1.5253 | Val Dice: 0.1053
Epoch 026/100 | Train Loss: 1.5271 | Val Loss: 1.5208 | Val Dice: 0.1101
Epoch 027/100 | Train Loss: 1.5233 | Val Loss: 1.5168 | Val Dice: 0.1148
Epoch 028/100 | Train Loss: 1.5194 | Val Loss: 1.5133 | Val Dice: 0.1194
Epoch 029/100 | Train Loss: 1.5155 | Val Loss: 1.5101 | Val Dice: 0.1214
Epoch 030/100 | Train Loss: 1.5116 | Val Loss: 1.5070 | Val Dice: 0.1255
Epoch 031/100 | Train Loss: 1.5077 | Val Loss: 1.5042 | Val Dice: 0.1272
Epoch 032/100 | Train Loss: 1.5039 | Val Loss: 1.5012 | Val Dice: 0.1287
Epoch 033/100 | Train Loss: 1.5002 | Val Loss: 1.4979 | Val Dice: 0.1308
Epoch 034/100 | Train Loss: 1.4966 | Val Loss: 1.4942 | Val Dice: 0.1328
Epoch 035/100 | Train Loss: 1.4930 | Val Loss: 1.4900 | Val Dice: 0.1356
Epoch 036/100 | Train Loss: 1.4896 | Val Loss: 1.4855 | Val Dice: 0.1379
Epoch 037/100 | Train Loss: 1.4861 | Val Loss: 1.4809 | Val Dice: 0.1406
Epoch 038/100 | Train Loss: 1.4826 | Val Loss: 1.4762 | Val Dice: 0.1436
Epoch 039/100 | Train Loss: 1.4791 | Val Loss: 1.4712 | Val Dice: 0.1464
Epoch 040/100 | Train Loss: 1.4755 | Val Loss: 1.4660 | Val Dice: 0.1495
Epoch 041/100 | Train Loss: 1.4719 | Val Loss: 1.4607 | Val Dice: 0.1554
Epoch 042/100 | Train Loss: 1.4681 | Val Loss: 1.4556 | Val Dice: 0.1599
