Epoch 001/100 | Train Loss: 1.5183 | Val Loss: 1.3069 | Val Dice: 0.4259
Epoch 002/100 | Train Loss: 1.2504 | Val Loss: 1.1998 | Val Dice: 0.4839
Epoch 003/100 | Train Loss: 1.1506 | Val Loss: 1.1178 | Val Dice: 0.5411
Epoch 004/100 | Train Loss: 1.0791 | Val Loss: 1.0453 | Val Dice: 0.6017
Epoch 005/100 | Train Loss: 0.9996 | Val Loss: 0.9663 | Val Dice: 0.6418
Epoch 006/100 | Train Loss: 0.9214 | Val Loss: 0.9310 | Val Dice: 0.6615
Epoch 007/100 | Train Loss: 0.8800 | Val Loss: 0.8905 | Val Dice: 0.6825
Epoch 008/100 | Train Loss: 0.8400 | Val Loss: 0.8416 | Val Dice: 0.7025
Epoch 009/100 | Train Loss: 0.8053 | Val Loss: 0.8090 | Val Dice: 0.7169
Epoch 010/100 | Train Loss: 0.7728 | Val Loss: 0.7847 | Val Dice: 0.7264
Epoch 011/100 | Train Loss: 0.7443 | Val Loss: 0.7660 | Val Dice: 0.7320
Epoch 012/100 | Train Loss: 0.7209 | Val Loss: 0.7415 | Val Dice: 0.7466
Epoch 013/100 | Train Loss: 0.6956 | Val Loss: 0.7123 | Val Dice: 0.7580
Epoch 014/100 | Train Loss: 0.6739 | Val Loss: 0.6961 | Val Dice: 0.7631
Epoch 015/100 | Train Loss: 0.6527 | Val Loss: 0.6850 | Val Dice: 0.7640
Epoch 016/100 | Train Loss: 0.6302 | Val Loss: 0.6698 | Val Dice: 0.7731
Epoch 017/100 | Train Loss: 0.6162 | Val Loss: 0.6551 | Val Dice: 0.7778
Epoch 018/100 | Train Loss: 0.5939 | Val Loss: 0.6358 | Val Dice: 0.7840
Epoch 019/100 | Train Loss: 0.5801 | Val Loss: 0.6262 | Val Dice: 0.7877
Epoch 020/100 | Train Loss: 0.5636 | Val Loss: 0.6172 | Val Dice: 0.7887
Epoch 021/100 | Train Loss: 0.5498 | Val Loss: 0.6051 | Val Dice: 0.7917
Epoch 022/100 | Train Loss: 0.5346 | Val Loss: 0.5952 | Val Dice: 0.7939
Epoch 023/100 | Train Loss: 0.5243 | Val Loss: 0.5845 | Val Dice: 0.7992
Epoch 024/100 | Train Loss: 0.5163 | Val Loss: 0.5742 | Val Dice: 0.8029
Epoch 025/100 | Train Loss: 0.4998 | Val Loss: 0.5680 | Val Dice: 0.8038
Epoch 026/100 | Train Loss: 0.4879 | Val Loss: 0.5599 | Val Dice: 0.8067
Epoch 027/100 | Train Loss: 0.4778 | Val Loss: 0.5590 | Val Dice: 0.8067
Epoch 028/100 | Train Loss: 0.4668 | Val Loss: 0.5509 | Val Dice: 0.8075
Epoch 029/100 | Train Loss: 0.4584 | Val Loss: 0.5510 | Val Dice: 0.8043
Epoch 030/100 | Train Loss: 0.4521 | Val Loss: 0.5397 | Val Dice: 0.8095
