Epoch 001/100 | Train Loss: 1.7013 | Val Loss: 1.6193 | Val Dice: 0.0225
Epoch 002/100 | Train Loss: 1.5947 | Val Loss: 1.5743 | Val Dice: 0.0204
Epoch 003/100 | Train Loss: 1.5660 | Val Loss: 1.5573 | Val Dice: 0.0185
Epoch 004/100 | Train Loss: 1.5524 | Val Loss: 1.5461 | Val Dice: 0.0222
Epoch 005/100 | Train Loss: 1.5424 | Val Loss: 1.5376 | Val Dice: 0.0256
Epoch 006/100 | Train Loss: 1.5338 | Val Loss: 1.5288 | Val Dice: 0.0440
Epoch 007/100 | Train Loss: 1.5212 | Val Loss: 1.5056 | Val Dice: 0.1105
Epoch 008/100 | Train Loss: 1.4887 | Val Loss: 1.4727 | Val Dice: 0.1280
Epoch 009/100 | Train Loss: 1.4623 | Val Loss: 1.4528 | Val Dice: 0.1700
Epoch 010/100 | Train Loss: 1.4439 | Val Loss: 1.4356 | Val Dice: 0.2034
Epoch 011/100 | Train Loss: 1.4256 | Val Loss: 1.4151 | Val Dice: 0.1951
Epoch 012/100 | Train Loss: 1.4036 | Val Loss: 1.3917 | Val Dice: 0.2282
Epoch 013/100 | Train Loss: 1.3803 | Val Loss: 1.3705 | Val Dice: 0.2645
Epoch 014/100 | Train Loss: 1.3599 | Val Loss: 1.3534 | Val Dice: 0.3031
Epoch 015/100 | Train Loss: 1.3420 | Val Loss: 1.3325 | Val Dice: 0.3396
Epoch 016/100 | Train Loss: 1.3222 | Val Loss: 1.3148 | Val Dice: 0.3403
Epoch 017/100 | Train Loss: 1.3088 | Val Loss: 1.3050 | Val Dice: 0.3547
Epoch 018/100 | Train Loss: 1.2984 | Val Loss: 1.2955 | Val Dice: 0.3687
Epoch 019/100 | Train Loss: 1.2885 | Val Loss: 1.2866 | Val Dice: 0.4011
Epoch 020/100 | Train Loss: 1.2803 | Val Loss: 1.2791 | Val Dice: 0.3836
Epoch 021/100 | Train Loss: 1.2725 | Val Loss: 1.2709 | Val Dice: 0.4288
Epoch 022/100 | Train Loss: 1.2645 | Val Loss: 1.2678 | Val Dice: 0.4243
Epoch 023/100 | Train Loss: 1.2574 | Val Loss: 1.2594 | Val Dice: 0.4492
Epoch 024/100 | Train Loss: 1.2508 | Val Loss: 1.2524 | Val Dice: 0.4579
Epoch 025/100 | Train Loss: 1.2447 | Val Loss: 1.2498 | Val Dice: 0.4438
Epoch 026/100 | Train Loss: 1.2389 | Val Loss: 1.2456 | Val Dice: 0.4429
Epoch 027/100 | Train Loss: 1.2332 | Val Loss: 1.2420 | Val Dice: 0.4502
Epoch 028/100 | Train Loss: 1.2278 | Val Loss: 1.2326 | Val Dice: 0.4728
