Epoch 001/100 | Train Loss: 1.0211 | Val Loss: 0.7889 | Val Dice: 0.7352
Epoch 002/100 | Train Loss: 0.7566 | Val Loss: 0.6688 | Val Dice: 0.7795
Epoch 003/100 | Train Loss: 0.6591 | Val Loss: 0.5729 | Val Dice: 0.8122
Epoch 004/100 | Train Loss: 0.5910 | Val Loss: 0.5286 | Val Dice: 0.8303
Epoch 005/100 | Train Loss: 0.5322 | Val Loss: 0.5098 | Val Dice: 0.8302
Epoch 006/100 | Train Loss: 0.5050 | Val Loss: 0.4690 | Val Dice: 0.8553
Epoch 007/100 | Train Loss: 0.4860 | Val Loss: 0.4564 | Val Dice: 0.8614
Epoch 008/100 | Train Loss: 0.4521 | Val Loss: 0.4399 | Val Dice: 0.8668
Epoch 009/100 | Train Loss: 0.4430 | Val Loss: 0.4255 | Val Dice: 0.8690
Epoch 010/100 | Train Loss: 0.4189 | Val Loss: 0.4165 | Val Dice: 0.8692
Epoch 011/100 | Train Loss: 0.4075 | Val Loss: 0.4020 | Val Dice: 0.8729
Epoch 012/100 | Train Loss: 0.4021 | Val Loss: 0.4091 | Val Dice: 0.8698
Epoch 013/100 | Train Loss: 0.4030 | Val Loss: 0.3884 | Val Dice: 0.8759
Epoch 014/100 | Train Loss: 0.3794 | Val Loss: 0.3915 | Val Dice: 0.8732
Epoch 015/100 | Train Loss: 0.3674 | Val Loss: 0.3838 | Val Dice: 0.8718
Epoch 016/100 | Train Loss: 0.3757 | Val Loss: 0.3790 | Val Dice: 0.8794
Epoch 017/100 | Train Loss: 0.3690 | Val Loss: 0.3818 | Val Dice: 0.8777
Epoch 018/100 | Train Loss: 0.3564 | Val Loss: 0.3828 | Val Dice: 0.8725
Epoch 019/100 | Train Loss: 0.3498 | Val Loss: 0.3673 | Val Dice: 0.8796
Epoch 020/100 | Train Loss: 0.3472 | Val Loss: 0.3577 | Val Dice: 0.8849
Epoch 021/100 | Train Loss: 0.3549 | Val Loss: 0.3671 | Val Dice: 0.8824
Epoch 022/100 | Train Loss: 0.3508 | Val Loss: 0.3625 | Val Dice: 0.8832
Epoch 023/100 | Train Loss: 0.3301 | Val Loss: 0.3919 | Val Dice: 0.8705
Epoch 024/100 | Train Loss: 0.3277 | Val Loss: 0.3472 | Val Dice: 0.8874
Epoch 025/100 | Train Loss: 0.3226 | Val Loss: 0.3408 | Val Dice: 0.8898
Epoch 026/100 | Train Loss: 0.3155 | Val Loss: 0.3485 | Val Dice: 0.8875
Epoch 027/100 | Train Loss: 0.3237 | Val Loss: 0.3472 | Val Dice: 0.8862
Epoch 028/100 | Train Loss: 0.3151 | Val Loss: 0.3490 | Val Dice: 0.8857
Epoch 029/100 | Train Loss: 0.2986 | Val Loss: 0.3297 | Val Dice: 0.8923
Epoch 030/100 | Train Loss: 0.3033 | Val Loss: 0.3408 | Val Dice: 0.8889
Epoch 031/100 | Train Loss: 0.2972 | Val Loss: 0.3270 | Val Dice: 0.8916
Epoch 032/100 | Train Loss: 0.3006 | Val Loss: 0.3318 | Val Dice: 0.8916
Epoch 033/100 | Train Loss: 0.2960 | Val Loss: 0.3333 | Val Dice: 0.8887
Epoch 034/100 | Train Loss: 0.2924 | Val Loss: 0.3432 | Val Dice: 0.8834
Epoch 035/100 | Train Loss: 0.2998 | Val Loss: 0.3503 | Val Dice: 0.8837
Epoch 036/100 | Train Loss: 0.2961 | Val Loss: 0.3437 | Val Dice: 0.8860
Epoch 037/100 | Train Loss: 0.2853 | Val Loss: 0.3321 | Val Dice: 0.8882
Epoch 038/100 | Train Loss: 0.2816 | Val Loss: 0.3181 | Val Dice: 0.8890
Epoch 039/100 | Train Loss: 0.2732 | Val Loss: 0.3255 | Val Dice: 0.8916
Early stopping at epoch 39: validation Dice has not improved beyond 0.8923 by more than 0.0010 for 10 consecutive epochs.
