Epoch 001/100 | Train Loss: 2.0351 | Val Loss: 1.9376 | Val Dice: 0.1151
Epoch 002/100 | Train Loss: 1.8986 | Val Loss: 1.8582 | Val Dice: 0.1189
Epoch 003/100 | Train Loss: 1.8188 | Val Loss: 1.7972 | Val Dice: 0.1210
Epoch 004/100 | Train Loss: 1.7555 | Val Loss: 1.7624 | Val Dice: 0.1237
Epoch 005/100 | Train Loss: 1.7240 | Val Loss: 1.7201 | Val Dice: 0.1275
Epoch 006/100 | Train Loss: 1.6838 | Val Loss: 1.6918 | Val Dice: 0.1326
Epoch 007/100 | Train Loss: 1.6560 | Val Loss: 1.6692 | Val Dice: 0.1395
Epoch 008/100 | Train Loss: 1.6334 | Val Loss: 1.6501 | Val Dice: 0.1450
Epoch 009/100 | Train Loss: 1.6157 | Val Loss: 1.6323 | Val Dice: 0.1491
Epoch 010/100 | Train Loss: 1.5978 | Val Loss: 1.6185 | Val Dice: 0.1531
Epoch 011/100 | Train Loss: 1.5837 | Val Loss: 1.6054 | Val Dice: 0.1563
Epoch 012/100 | Train Loss: 1.5704 | Val Loss: 1.5931 | Val Dice: 0.1599
Epoch 013/100 | Train Loss: 1.5585 | Val Loss: 1.5821 | Val Dice: 0.1638
Epoch 014/100 | Train Loss: 1.5480 | Val Loss: 1.5724 | Val Dice: 0.1671
Epoch 015/100 | Train Loss: 1.5380 | Val Loss: 1.5629 | Val Dice: 0.1708
Epoch 016/100 | Train Loss: 1.5280 | Val Loss: 1.5548 | Val Dice: 0.1743
Epoch 017/100 | Train Loss: 1.5195 | Val Loss: 1.5475 | Val Dice: 0.1777
Epoch 018/100 | Train Loss: 1.5122 | Val Loss: 1.5395 | Val Dice: 0.1808
Epoch 019/100 | Train Loss: 1.5047 | Val Loss: 1.5318 | Val Dice: 0.1835
Epoch 020/100 | Train Loss: 1.4976 | Val Loss: 1.5248 | Val Dice: 0.1872
Epoch 021/100 | Train Loss: 1.4910 | Val Loss: 1.5181 | Val Dice: 0.1920
Epoch 022/100 | Train Loss: 1.4845 | Val Loss: 1.5121 | Val Dice: 0.1965
Epoch 023/100 | Train Loss: 1.4787 | Val Loss: 1.5061 | Val Dice: 0.2013
Epoch 024/100 | Train Loss: 1.4729 | Val Loss: 1.5002 | Val Dice: 0.2060
Epoch 025/100 | Train Loss: 1.4672 | Val Loss: 1.4951 | Val Dice: 0.2089
Epoch 026/100 | Train Loss: 1.4622 | Val Loss: 1.4898 | Val Dice: 0.2143
