run_id,date,dataset,parameters,mean_val_dice,std_val_dice,hypothesis,notes,interpretation,architecture_activation,architecture_bottleneck_channels,architecture_dropout_probability,architecture_encoder_channels,architecture_group_norm_num_groups,architecture_input_channels,architecture_kernel_size,architecture_normalization,architecture_skip_connection_mode,architecture_upsampling_mode,architecture_use_attention_gates,architecture_use_depthwise_separable_convolutions,architecture_use_residual_connections,architecture_use_single_convolution_per_block,training_batch_size,training_cyclic_learning_rate_half_cycle_epochs,training_cyclic_learning_rate_maximum,training_cyclic_learning_rate_minimum,training_data_root,training_early_stopping_minimum_improvement_delta,training_early_stopping_patience,training_epochs,training_image_size,training_learning_rate,training_max_samples,training_seed,training_use_color_input,training_use_cyclic_learning_rate,training_weight_decay,training_gradient_clipping_max_norm,training_use_augmentation,training_augmentation_apply_horizontal_flip,training_augmentation_apply_vertical_flip,training_augmentation_rotation_max_angle_degrees,architecture_weight_initialization,architecture_convolutions_per_block
2026_06_19_22_39_31,2026-06-19,Polyp,46841,0.5772,0.0058,Depth-wise separable layers does not lose much in Dice.,polyp + batch norm + ds conv 4 blocks,,relu,64,0.0,"[8, 16, 32, 64]",8,3,3,batch_norm,,bilinear,False,True,False,,64.0,,,,data/Polyp,0.001,10.0,100.0,256.0,0.001,,44.0,True,,0.0001,,,,,,,
2026_06_19_23_31_31,2026-06-20,Polyp,13337,0.6055,0.0138,Depth-wise separable layers does not lose much in Dice.,polyp + batch norm + ds conv 3 blocks,,relu,32,0.0,"[8, 16, 32]",8,3,3,batch_norm,,bilinear,False,True,False,,64.0,,,,data/Polyp,0.001,10.0,100.0,256.0,0.001,,44.0,True,,0.0001,,,,,,,
2026_06_19_22_54_22,2026-06-20,BAGLS,46697,0.9146,0.0064,Depth-wise separable layers does not lose much in Dice.,bagls + batch norm + ds conv 4 blocks,,relu,64,0.0,"[8, 16, 32, 64]",8,1,3,batch_norm,,bilinear,False,True,False,,64.0,,,,data/bagls,0.001,10.0,100.0,256.0,0.001,20000.0,44.0,False,,0.0001,,,,,,,
2026_06_20_00_41_20,2026-06-20,Polyp,75041,0.6746,0.0045,Depth-wise separable layers does not lose much in Dice.,polyp + batch norm + standard conv 3 blocks,,relu,32,0.0,"[8, 16, 32]",8,3,3,batch_norm,,bilinear,False,False,False,,64.0,,,,data/Polyp,0.001,10.0,100.0,256.0,0.001,,44.0,True,,0.0001,,,,,,,
2026_06_20_01_36_11,2026-06-20,Polyp,45625,0.0,0.0,Depth-wise separable layers does not lose much in Dice.,polyp + no norm + ds conv 4 blocks,,relu,64,0.0,"[8, 16, 32, 64]",8,3,3,none,,bilinear,False,True,False,,64.0,,,,data/Polyp,0.001,10.0,100.0,256.0,0.001,,44.0,True,,0.0001,,,,,,,
2026_06_20_01_51_50,2026-06-20,Polyp,12761,0.0748,0.1296,Depth-wise separable layers does not lose much in Dice.,polyp + no norm + ds conv 3 blocks,,relu,32,0.0,"[8, 16, 32]",8,3,3,none,,bilinear,False,True,False,,64.0,,,,data/Polyp,0.001,10.0,100.0,256.0,0.001,,44.0,True,,0.0001,,,,,,,
2026_06_20_01_06_34,2026-06-20,BAGLS,13193,0.8958,0.0096,Depth-wise separable layers does not lose much in Dice.,bagls + batch norm + ds conv 3 blocks,,relu,32,0.0,"[8, 16, 32]",8,1,3,batch_norm,,bilinear,False,True,False,,64.0,,,,data/bagls,0.001,10.0,100.0,256.0,0.001,20000.0,44.0,False,,0.0001,,,,,,,
2026_06_20_15_10_19,2026-06-20,Polyp,74465,0.4259,0.3689,Depth-wise separable layers does not lose much in Dice.,polyp + no norm + standard conv 3 blocks,,relu,32,0.0,"[8, 16, 32]",8,3,3,none,,bilinear,False,False,False,,64.0,,,,data/Polyp,0.001,10.0,100.0,256.0,0.001,,44.0,True,,0.0001,,,,,,,
2026_06_20_19_19_18,2026-06-20,Polyp,46841,0.5839,0.0086,Depth-wise separable layers does not lose much in Dice.,polyp + batch norm + ds conv 4 blocks,,relu,64,0.0,"[8, 16, 32, 64]",8,3,3,batch_norm,,bilinear,False,True,False,,64.0,,,,data/Polyp,0.001,20.0,200.0,256.0,0.001,,44.0,True,,0.0001,,,,,,,
2026_06_20_15_23_22,2026-06-20,BAGLS,45481,0.6414,0.0103,Depth-wise separable layers does not lose much in Dice.,bagls + no norm + ds conv 4 blocks,,relu,64,0.0,"[8, 16, 32, 64]",8,1,3,none,,bilinear,False,True,False,,64.0,,,,data/bagls,0.001,10.0,100.0,256.0,0.001,20000.0,44.0,False,,0.0001,,,,,,,
